Fecha,SKU_1,SKU_2,SKU_3,SKU_4,SKU_5,SKU_6,SKU_7,SKU_8,SKU_9,SKU_10,SKU_11,SKU_12,SKU_13,SKU_14,SKU_15,SKU_16,SKU_17,SKU_18,SKU_19,SKU_20,SKU_21,SKU_22,SKU_23,SKU_24,SKU_25,SKU_26,SKU_27,SKU_28,SKU_29,SKU_30,SKU_31,SKU_32,SKU_33,SKU_34,SKU_35,SKU_36,SKU_37,SKU_38,SKU_39,SKU_40,SKU_41,SKU_42,SKU_43,SKU_44,SKU_45,SKU_46
2018-11-01,5961,2634,1776,4209,2500,3328,263,481,817,1838,1230,11706,1300,1203,841,1173,3215,1065,2424,3603,1846,1622,2698,2533,3900,10331,22466,800,1473,2202,19210,1504,627,2400,3411,10239,3492,4634,1157,2387,3712,1558,6167,1419,1055,410
2018-12-01,5603,2611,1690,3781,2479,4015,325,505,676,2040,1135,12954,1233,1310,763,1041,3069,1097,2525,3428,1451,1525,2567,2414,3886,9223,23894,906,1695,2730,21217,1613,602,2095,3206,10090,4196,4629,1137,2530,3767,1613,5177,1566,1286,438
2019-01-01,6281,2830,1744,3787,3154,4284,286,603,999,2097,1499,14349,1385,1127,717,1306,3243,1140,2814,4377,1860,1919,2825,2543,3666,10035,20851,913,1536,2157,24078,1902,622,2368,3560,12409,4056,4543,1318,3208,3985,1300,6123,1992,1253,525
2019-02-01,7231,2989,1991,4813,2784,4014,343,640,898,2572,1420,13668,1487,1524,1103,1144,3191,1242,2694,3984,1850,1949,2943,2756,4384,9177,21031,858,1826,2772,24499,1865,663,2464,4267,10484,3811,4021,1380,2839,4655,1491,7087,1505,1291,501
2019-03-01,6534,1907,1685,3925,3469,4824,330,611,937,2216,1392,17332,1657,1545,964,1216,3878,1223,2395,4060,1766,2189,3684,2590,3449,11664,26146,1079,1515,3051,24098,2049,827,2802,3861,12182,3804,4150,1497,3384,4956,1603,6636,1794,1344,509
2019-04-01,6554,2297,1597,3769,3275,4678,332,657,1099,1943,1371,15338,1693,1400,845,1181,3312,1098,2786,4432,2010,2107,2933,2829,4225,11278,23623,1041,1331,2759,24008,2196,807,2542,3702,13387,3785,5594,1257,3135,4778,1781,7616,1884,1470,577
2019-05-01,6103,3009,2097,4270,3769,4532,298,658,957,2217,1310,17498,1607,1502,917,1070,3561,1359,2802,4133,1569,1916,3324,2751,4919,11002,23087,930,1550,2987,23916,2161,749,2610,3959,10286,3808,4625,1329,3180,5201,1908,7352,1666,1347,506
2019-06-01,7333,3234,1917,4467,3678,4224,286,599,1121,2234,1479,16616,1506,1453,974,1044,3478,1104,2928,4358,1770,2284,2940,3108,5068,13091,22953,1058,1641,2161,26368,1903,726,2119,4406,11563,3668,4895,1248,3028,4742,1714,7102,1719,1455,514
2019-07-01,6535,2635,1597,3442,3177,5127,304,557,1009,2043,1302,15524,1460,1304,723,1177,2937,1290,2869,4751,1941,2240,3070,2591,5080,9275,19816,964,1304,2676,22355,1689,788,2202,3331,12055,3499,4348,1424,3460,4346,1419,7295,1808,1357,522
2019-08-01,7057,2415,1939,3964,3138,4063,282,544,879,2217,1323,13479,1497,1236,843,976,3198,1260,3078,3524,1400,2029,3088,2440,3459,8996,23191,893,1554,2086,20576,1541,627,2236,4029,9178,4013,4714,1056,2642,4176,1576,6689,1525,1103,472
